化学式,名称,酸碱性,水解/电解,状态,反应,其他性质
Na2SO4,硫酸钠,中性,不能水解 / 能电解,固体 晶体,与 Ba2+ 反应生成 BaSO4/与热浓 H2SO4 反应生成 SO3,可溶于水 / 工业用途 / 脱水剂
CaCO3,碳酸钙,弱碱性,能水解 / 不能电解,固体 晶体,与 HCl 反应生成 CO2/与 H2O + CO2 反应生成 Ca(HCO3)2,微溶于水 / 建筑材料 / 石灰石
HCl,盐酸,强酸,不能水解 / 能电解,液体 溶液,与 NaOH 反应生成 NaCl/与 Zn 反应生成 H2,强电解质 / 金属除锈 / 实验酸
NaOH,氢氧化钠,强碱,不能水解 / 能电解,固体 晶体,与 HCl 反应生成 NaCl/与 CO2 反应生成 Na2CO3/与 Al 反应生成 NaAlO2,易潮解 / 腐蚀性强 / 工业碱
H2SO4,硫酸,强酸,不能水解 / 能电解,液体 溶液,与 NaOH 反应生成 Na2SO4/与 Cu 反应生成 CuSO4/与 CaCO3 反应生成 CO2,脱水性 / 吸水性 / 强氧化性
NH3,氨气,弱碱性,能水解 / 不能电解,气体,与 HCl 反应生成 NH4Cl/与 H2O 反应生成 NH3·H2O/与 O2 反应生成 NO,刺激性气味 / 制冷剂 / 氮肥原料
NaCl,氯化钠,中性,不能水解 / 能电解,固体 晶体,与 AgNO3 反应生成 AgCl/与浓 H2SO4 反应生成 HCl,食盐 / 调味品 / 防腐剂
CO2,二氧化碳,弱酸性,能水解 / 不能电解,气体,与 NaOH 反应生成 Na2CO3/与 Ca(OH)2 反应生成 CaCO3/与 C 反应生成 CO,温室气体 / 灭火剂 / 光合作用
Fe2O3,氧化铁,两性,不能水解 / 不能电解,固体 晶体,与 HCl 反应生成 FeCl3/与 CO 反应生成 Fe/与 Al 反应生成 Fe,红棕色 / 铁锈主要成分 / 颜料
Al2O3,氧化铝,两性,不能水解 / 能电解,固体 晶体,与 HCl 反应生成 AlCl3/与 NaOH 反应生成 NaAlO2/与 C 反应生成 Al,熔点高 / 耐火材料 / 冶炼铝
CH3COOH,乙酸,弱酸,不能水解 / 能电解,液体 溶液,与 NaOH 反应生成 CH3COONa/与 Na2CO3 反应生成 CO2/与 C2H5OH 反应生成 CH3COOC2H5,醋酸 / 食醋主要成分 / 有机酸
KMnO4,高锰酸钾,中性,不能水解 / 能电解,固体 晶体,与 HCl 反应生成 Cl2/与 H2O2 反应生成 O2/与 FeSO4 反应生成 Fe2(SO4)3,紫黑色 / 强氧化剂 / 消毒剂
CuSO4,硫酸铜,弱酸性,能水解 / 能电解,固体 晶体,与 NaOH 反应生成 Cu(OH)2/与 Fe 反应生成 Cu/与 BaCl2 反应生成 BaSO4,蓝色晶体 / 杀菌剂 / 电镀
AgNO3,硝酸银,中性,不能水解 / 能电解,固体 晶体,与 NaCl 反应生成 AgCl/与 Cu 反应生成 Ag/与 HCl 反应生成 AgCl,见光分解 / 检验氯离子 / 消毒剂
Ca(OH)2,氢氧化钙,强碱,不能水解 / 能电解,固体 晶体,与 CO2 反应生成 CaCO3/与 HCl 反应生成 CaCl2/与 Na2CO3 反应生成 CaCO3,微溶于水 / 石灰水 / 建筑材料
Cl2,氯气,中性,能水解 / 不能电解,气体,与 NaOH 反应生成 NaClO/与 H2O 反应生成 HClO/与 Fe 反应生成 FeCl3,黄绿色 / 有毒 / 消毒剂
SO2,二氧化硫,弱酸性,能水解 / 不能电解,气体,与 NaOH 反应生成 Na2SO3/与 O2 反应生成 SO3/与 H2O 反应生成 H2SO3,刺激性气味 / 漂白剂 / 酸雨成因
NH4Cl,氯化铵,弱酸性,能水解 / 能电解,固体 晶体,与 NaOH 反应生成 NH3/与 AgNO3 反应生成 AgCl/加热反应生成 NH3 + HCl,易升华 / 氮肥 / 电池
FeCl3,氯化铁,弱酸性,能水解 / 能电解,固体 晶体,与 NaOH 反应生成 Fe(OH)3/与 Cu 反应生成 FeCl2/与 KSCN 反应生成 Fe(SCN)3,黄褐色 / 净水剂 / 腐蚀剂
H2O2,过氧化氢,弱酸性,不能水解 / 能电解,液体 溶液,与 KMnO4 反应生成 O2/与 MnO2 反应生成 O2/与 Ag2O 反应生成 O2,双氧水 / 消毒剂 / 漂白剂
